pair_id,split,molecule_a_id,molecule_b_id,molecule_a_chembl_id,molecule_b_chembl_id,compound_name_a,compound_name_b,target_chembl_id,target_name,standard_type,has_conformer_pair,has_image_pair,similarity_score,is_similar,activity_value_a,activity_value_b,activity_unit,activity_delta,activity_value_mean,smiles_a,smiles_b,smiles_length_a,smiles_length_b,smiles_length_abs_delta,molecular_weight_a,molecular_weight_b,molecular_weight_abs_delta,heavy_atom_count_a,heavy_atom_count_b,heavy_atom_count_abs_delta
ACT_CHEMBL1833_EC50_178252_178566,train,178252,178566,CHEMBL178252,CHEMBL178566,CHEMBL178252,CHEMBL178566,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,1.0,1,5.0,5.0,pchembl,0.0,5.0,CC1CNCCc2ccc(F)cc21,C[C@H]1CNCCc2ccc(Cl)c(Cl)c21,19,28,9,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_179244,train,178252,179244,CHEMBL178252,CHEMBL179244,CHEMBL178252,CHEMBL179244,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,1.0,1,5.0,5.0,pchembl,0.0,5.0,CC1CNCCc2ccc(F)cc21,CC1CNCCc2cc(OCc3ccccc3)c(Br)cc21,19,32,13,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_368016,train,178252,368016,CHEMBL178252,CHEMBL368016,CHEMBL178252,CHEMBL368016,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,1.0,1,5.0,5.0,pchembl,0.0,5.0,CC1CNCCc2ccc(F)cc21,CC1CNCCc2ccc(Cl)c(F)c21,19,23,4,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_360479,train,178252,360479,CHEMBL178252,CHEMBL360479,CHEMBL178252,CHEMBL360479,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.7686,1,5.0,5.301,pchembl,0.301,5.1505,CC1CNCCc2ccc(F)cc21,CC1CNCCc2cccc(Cl)c21,19,20,1,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_362073,test,178252,362073,CHEMBL178252,CHEMBL362073,CHEMBL178252,CHEMBL362073,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.7686,1,5.0,5.301,pchembl,0.301,5.1505,CC1CNCCc2ccc(F)cc21,CC1CNCCc2c(Cl)cccc21,19,20,1,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_367796,train,178252,367796,CHEMBL178252,CHEMBL367796,CHEMBL178252,CHEMBL367796,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.7686,1,5.0,5.301,pchembl,0.301,5.1505,CC1CNCCc2ccc(F)cc21,CC1CNCCc2ccccc21,19,16,3,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178231_178252,train,178231,178252,CHEMBL178231,CHEMBL178252,CHEMBL178231,CHEMBL178252,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.5732,1,5.7447,5.0,pchembl,0.7447,5.3723,CC1CNCCc2ccc(Cl)c(Cl)c21,CC1CNCCc2ccc(F)cc21,24,19,5,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_440752,train,178252,440752,CHEMBL178252,CHEMBL440752,CHEMBL178252,CHEMBL440752,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.5483,1,5.0,5.8239,pchembl,0.8239,5.412,CC1CNCCc2ccc(F)cc21,CC1CNCCc2ccc(Br)cc21,19,20,1,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_178365,val,178252,178365,CHEMBL178252,CHEMBL178365,CHEMBL178252,CHEMBL178365,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.5394,1,5.0,5.8539,pchembl,0.8539,5.4269,CC1CNCCc2ccc(F)cc21,C[C@@H]1CNCCc2ccc(Cl)cc21,19,25,6,0.0,0.0,0.0,0,0,0
ACT_CHEMBL1833_EC50_178252_197646,train,178252,197646,CHEMBL178252,CHEMBL197646,CHEMBL178252,CHEMBL197646,CHEMBL1833,5-hydroxytryptamine receptor 2B,EC50,0,0,0.5186,1,5.0,5.9281,pchembl,0.9281,5.4641,CC1CNCCc2ccc(F)cc21,CN(C)CCc1c[nH]c2cccc(F)c12,19,26,7,0.0,0.0,0.0,0,0,0
