pair_id,has_complete_pdb_pair,has_complete_svg_pair,pdb_path_a,svg_path_a,compound_name_a,atom_count_a,heavy_atom_count_a,element_counts_a,pdb_path_b,svg_path_b,compound_name_b,atom_count_b,heavy_atom_count_b,element_counts_b,atom_count_delta,heavy_atom_count_delta
001,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_001a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_001a.svg,molecule_001a_11,40,17,"{""C"": 14, ""H"": 23, ""N"": 2, ""O"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_001b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_001b.svg,molecule_001b,47,20,"{""C"": 17, ""H"": 27, ""N"": 2, ""O"": 1}",7,3
002,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_002a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_002a.svg,molecule_002a_30,59,31,"{""C"": 23, ""F"": 1, ""H"": 28, ""N"": 4, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_002b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_002b.svg,molecule_002b,58,30,"{""C"": 23, ""F"": 1, ""H"": 28, ""N"": 4, ""O"": 2}",-1,-1
003,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_003a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_003a.svg,molecule_003a_23,28,14,"{""C"": 10, ""H"": 14, ""O"": 4}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_003b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_003b.svg,molecule_003b,47,21,"{""C"": 16, ""H"": 26, ""N"": 1, ""O"": 4}",19,7
004,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_004a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_004a.svg,molecule_004a_72,57,28,"{""C"": 20, ""H"": 29, ""N"": 2, ""O"": 5, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_004b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_004b.svg,molecule_004b,30,19,"{""C"": 11, ""F"": 3, ""H"": 11, ""N"": 2, ""O"": 3}",-27,-9
005,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_005a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_005a.svg,molecule_005a_1,24,10,"{""C"": 9, ""H"": 14, ""N"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_005b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_005b.svg,molecule_005b,27,11,"{""C"": 10, ""H"": 16, ""N"": 1}",3,1
006,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_006a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_006a.svg,molecule_006a_38,43,21,"{""C"": 17, ""H"": 22, ""N"": 1, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_006b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_006b.svg,molecule_006b,24,17,"{""C"": 7, ""H"": 7, ""N"": 1, ""O"": 7, ""P"": 2}",-19,-4
007,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_007a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_007a.svg,molecule_007a_15,28,17,"{""C"": 9, ""H"": 11, ""I"": 1, ""N"": 2, ""O"": 5}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_007b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_007b.svg,molecule_007b,31,20,"{""C"": 10, ""F"": 3, ""H"": 11, ""N"": 2, ""O"": 5}",3,3
008,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_008a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_008a.svg,molecule_008a_2,58,26,"{""C"": 23, ""H"": 32, ""N"": 1, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_008b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_008b.svg,molecule_008b,28,20,"{""C"": 13, ""F"": 3, ""H"": 8, ""N"": 2, ""O"": 2}",-30,-6
009,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_009a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_009a.svg,molecule_009a_148,45,19,"{""C"": 15, ""H"": 26, ""N"": 1, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_009b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_009b.svg,molecule_009b,42,19,"{""C"": 14, ""H"": 23, ""N"": 2, ""O"": 3}",-3,0
010,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_010a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_010a.svg,molecule_010a_27,51,25,"{""C"": 20, ""H"": 26, ""N"": 3, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_010b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_010b.svg,molecule_010b,48,24,"{""C"": 19, ""H"": 24, ""N"": 3, ""O"": 2}",-3,-1
